instrument_token,stock_code,stock_name
5420545,CDSL,CENTRAL DEPO SER (I)
5013761,BSE,BSE
4644609,JIOFIN,JIO FIN SERVICES
3526657,GESHIP,THE GE SHPG.LTD
7982337,MCX,MULTI COMMODITY EXCHANGE
1401601,GRSE,GARDEN REACH SHIP&ENG
2457345,DELHIVERY,DELHIVERY
1513217,PARAS,PARAS DEF AND SPCE TECH L
4752897,RRKABEL,R R KABEL
6988033,RTNINDIA,RATTANINDIA ENT
2493697,PARADEEP,PARADEEP PHOSPHATES
5506049,COCHINSHIP,COCHIN SHIPYARD
502785,TRENT,TRENT
4724993,POWERINDIA,HITACHI ENERGY INDIA
462849,KAJARIACER,KAJARIA CERAMICS
2962689,FORCEMOT,FORCE MOTORS
2455041,POLYCAB,POLYCAB INDIA
1829121,ANANDRATHI,ANAND RATHI WEALTH
5565441,CHOLAHLDNG,CHOLAMANDALAM FIN HOL
1003009,NATCOPHARM,NATCO PHARMA
1332225,GMDCLTD,GUJARAT MINERAL DEV CORP
1304833,ETERNAL,ETERNAL - ZOMATO
3906817,RPOWER-BE,RELIANCE POWER
